id,SAMPLE_1
"1",208.110977172852
"2",18928.390625
"3",249.581039428711
"4",26050.88671875
"5",60492.609375
"6",16762.630859375
"7",3128.27880859375
"8",5006.76220703125
"9",8907.8935546875
"10",615.764404296875
"11",28032.16015625
"12",29974.248046875
"13",79.9350280761719
"14",4353.35986328125
"15",46.816535949707
"16",33184.62109375
"17",2678.39233398438
"18",116593.71875
"19",22.1903533935547
"20",701.206665039062
"21",43158.87890625
"22",35333.1015625
"23",582.021301269531
"24",82291.8125
"25",144.753784179688
"26",1005.07727050781
"27",75.041374206543
"28",234.030334472656
"29",4049.17749023438
"30",91.1440811157227
"31",35.9227294921875
"32",680808
"33",14833.0966796875
"34",119778.0390625
"35",1658.17260742188
