"","watershed","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"1","Headwaters Spruce Fork",1207.03810910413,1206.62311102874,1206.22301087762,1205.80294554773,1210.28702740078,1215.17808098341,1220.42007156706,1226.07473732607,1232.12176112711,1238.54892791971,1245.3815374444,1246.2976599923,1247.23262859261,1248.16934270928,1249.11274039832,1250.05929587705,1250.9937058052,1251.96652154853,1252.92595767279,1253.89087715984,1254.86624301437,1255.72914290602,1256.26294479927,1256.345187222,1255.97158078382,1255.21132331347,1254.17794554773,1252.91023644218,1251.58903826414,1250.48113880018,1249.72098379762,1249.3241118271,1249.21765314924,1249.34529325388,1249.63617077013,1250.07393184021,1250.61567186787,1251.25858590899,1251.97880520786,1252.77428575502,1253.59005670478,1254.45395276146,1255.27164565038,1256.14600856809,1257.04994279625,1257.94962594805,1258.85063316178,1259.74372540773,1260.66393330149,1261.57354335367,1262.49983248745,1263.41287832887,1264.34096109432,1265.25460926808,1266.16133685704,1267.08757609346,1267.98958036325,1268.8708799042,1269.74414686217,1270.60771591298,1271.46445971858,1272.332547153,1273.19729324675,1274.02679042398,1274.88431209369,1275.68300656507,1276.50824286468,1277.3229730982,1278.11722759609,1278.90542402059,1279.7129717082,1280.44382181655,1281.16313048871,1281.86733451899,1282.551076179,1283.25376279511,1283.90917879648,1284.58781488794,1285.23677452811,1285.89140553718,1286.54792106239,1287.17970710253,1287.81888686131,1288.41871275519,1289.05564089587,1289.64695394474,1290.25206093893,1290.85665292113,1291.4414285256,1292.00306423215,1292.56748260721
"2","White Oak Creek",1180.77032097018,1180.29821029974,1179.84061354034,1179.36656220105,1183.66848443479,1188.38089674346,1193.43008609694,1198.88450902822,1204.72537667411,1210.93204669563,1217.53901765784,1218.37158203125,1219.22005042251,1220.07099260603,1220.9327542052,1221.78903758769,1222.6365169603,1223.5243816765,1224.39401556521,1225.273405114,1226.1629887795,1226.93822245695,1227.39002959582,1227.40644680724,1226.97859285316,1226.16980478715,1225.09830895249,1223.8083595743,1222.46530961017,1221.33407405931,1220.54014867666,1220.10582997848,1219.95241998166,1220.03564702248,1220.27310367506,1220.65494708626,1221.13823092714,1221.72615144691,1222.38748604911,1223.11714016661,1223.86905094069,1224.68109255421,1225.42968500877,1226.23746412628,1227.08025251116,1227.91104811065,1228.74583466199,1229.5686259367,1230.42931879783,1231.27993213887,1232.1440230389,1232.99667669802,1233.86662448182,1234.71677943638,1235.55966996173,1236.42913942921,1237.27423718511,1238.08982880261,1238.90491719149,1239.71087771046,1240.49990035077,1241.31853874362,1242.12037129305,1242.89108836894,1243.70011559311,1244.4469666773,1245.21529964525,1245.97999790737,1246.72212810906,1247.45348373724,1248.2174346301,1248.89915995695,1249.56456772162,1250.22398656728,1250.8564453125,1251.5159239477,1252.12695561623,1252.75592912946,1253.35823650749,1253.96712322624,1254.57845882494,1255.1702282964,1255.76074716996,1256.31945551658,1256.91313825335,1257.46454231107,1258.03207210619,1258.58995585539,1259.13888612085,1259.66056232063,1260.19107740753
"3","Laurel Creek",1186.46349645544,1185.97955638744,1185.50803132234,1185.01979347512,1189.37905092593,1194.15166648582,1199.26509241175,1204.7883770978,1210.70391710069,1216.99210792824,1223.68328812211,1224.51784125434,1225.37103678385,1226.22661856192,1227.08940972222,1227.95004611545,1228.80280128762,1229.6915979456,1230.56561867043,1231.44673213252,1232.34088360822,1233.11834129051,1233.56915418837,1233.5784749349,1233.13465169271,1232.30586389612,1231.21240596065,1229.89349681713,1228.52449182581,1227.37024377894,1226.55836317274,1226.10962275752,1225.94677463108,1226.02202871817,1226.25238263166,1226.63332971644,1227.11402000145,1227.70252640336,1228.36506890191,1229.09627911603,1229.85223162616,1230.66403266059,1231.41595232928,1232.22805266204,1233.07381998698,1233.90972583912,1234.74842664931,1235.5779296875,1236.44175437645,1237.29733253762,1238.16686740451,1239.02408673322,1239.89912380642,1240.75555013021,1241.6027416088,1242.47855812355,1243.33039550781,1244.15276692708,1244.97409125434,1245.78370406539,1246.57928602431,1247.40319733796,1248.2130380136,1248.98927408854,1249.80346860532,1250.55737304688,1251.33045970775,1252.10201551649,1252.84963107639,1253.58881655093,1254.35784324363,1255.04535861545,1255.71825448495,1256.37999041522,1257.01745876736,1257.6817807798,1258.29837239583,1258.93263436777,1259.53827582465,1260.15368200231,1260.76875090422,1261.36445041233,1261.96092303241,1262.5237358941,1263.12158655237,1263.67946596499,1264.24977846499,1264.81188783999,1265.36529134115,1265.89101381655,1266.42733289931
"4","Ben Creek",1175.10104939089,1174.68231718419,1174.27875066208,1173.8547942598,1178.29482463255,1183.13847118313,1188.32984846729,1193.93043647378,1199.92045567399,1206.28762869108,1213.05667372881,1213.95806988215,1214.87780347921,1215.80000124139,1216.72825907044,1217.66017900887,1218.5799188129,1219.53682385461,1220.48071289062,1221.4306102688,1222.39095810712,1223.23861435712,1223.76076908435,1223.83456782971,1223.45575882217,1222.69301385395,1221.65885485633,1220.39179397842,1219.07161596266,1217.96128095207,1217.19615871623,1216.79090183064,1216.6738819187,1216.78907905191,1217.06538416976,1217.48717227225,1218.01220082428,1218.6369856495,1219.33849890757,1220.11470885196,1220.91181764764,1221.75608903271,1222.55563716565,1223.41111212262,1224.29545153602,1225.17625297934,1226.05847374868,1226.93286960408,1227.83418713586,1228.72460730601,1229.63172214314,1230.52595338983,1231.43484134997,1232.32975743181,1233.21777550649,1234.12518207097,1235.00886354608,1235.8724613513,1236.72785354873,1237.57446909759,1238.41424663996,1239.26465464447,1240.11255089711,1240.92468675516,1241.76442912474,1242.54762811176,1243.35640600172,1244.15482446703,1244.93234408104,1245.70477812169,1246.49643927105,1247.21315959349,1247.91783426576,1248.60804670948,1249.27907549325,1249.96870241327,1250.611328125,1251.27703340175,1251.91419284627,1252.55634889764,1253.20002772444,1253.81985939155,1254.44723872815,1255.03585556806,1255.66016245697,1256.24055506819,1256.83443127648,1257.42755230403,1258.00085449219,1258.55208471266,1259.10527012712
"5","Ballard Fork-Mud River",1199.35926040338,1198.8606181242,1198.37380171795,1197.87112364477,1202.20967444595,1206.96482132892,1212.0575200295,1217.56068638393,1223.45576072226,1229.72204091598,1236.3916738082,1237.20985132334,1238.04757254464,1238.88657176738,1239.734310228,1240.57822714047,1241.41526078205,1242.28797383211,1243.14483518017,1244.00960120376,1244.88829569914,1245.64890834263,1246.08390963807,1246.07861079002,1245.62194325973,1244.78081901706,1243.67849918288,1242.35421316964,1240.98216776945,1239.82732780612,1239.01485271843,1238.56635642538,1238.4034897162,1238.48066306601,1238.71141083386,1239.09436035156,1239.57615692761,1240.16893036511,1240.83437300702,1241.56753976004,1242.32584801499,1243.14266780931,1243.89356714365,1244.70612444196,1245.55376325335,1246.38925980548,1247.22868004624,1248.05847915338,1248.92434131856,1249.78315579161,1250.65462571747,1251.51446906888,1252.39284717793,1253.25188586177,1254.10043646365,1254.98059580277,1255.83576311384,1256.65789919483,1257.4820830676,1258.29313068001,1259.08742476483,1259.91538534359,1260.72658242985,1261.50382403938,1262.32250229193,1263.07997598453,1263.85461924027,1264.63032874283,1265.3809640067,1266.1229098573,1266.89613809391,1267.58552893814,1268.25878158881,1268.92122229751,1269.5577865912,1270.2225192323,1270.83958466199,1271.47272351323,1272.07727050781,1272.69276147959,1273.30695452009,1273.90335768096,1274.49874691087,1275.0612244898,1275.65903519611,1276.2176364198,1276.78839983259,1277.34893674267,1277.90391571668,1278.42924904337,1278.9677410515
"6","Headwaters Muddlety Creek",1348.25537366365,1347.90934544613,1347.58090948808,1347.23771972656,1351.99301243832,1357.18237433183,1362.74381553248,1368.74329384252,1375.14619654605,1381.94172748766,1389.17024182771,1390.23316714638,1391.29194849918,1392.3663073088,1393.45705951891,1394.53558028372,1395.60570261102,1396.72824964021,1397.82142141242,1398.93812577097,1400.04728232936,1401.0524324116,1401.70431357936,1401.89236353824,1401.60855263158,1400.93029785156,1399.96524336965,1398.77290553043,1397.53165604441,1396.51129857113,1395.864453125,1395.59893991571,1395.64194978413,1395.93249897204,1396.40192614104,1397.01281224301,1397.7414949116,1398.58118703742,1399.4972681949,1400.49359709087,1401.51731856497,1402.58001773232,1403.58813862048,1404.65256476151,1405.74645225123,1406.83169587788,1407.91882838199,1408.99678505345,1410.11232267681,1411.20907046669,1412.32703793174,1413.42912340666,1414.54598452919,1415.63889288651,1416.73661852385,1417.84789268092,1418.92205746299,1419.97708033512,1421.01965203536,1422.05433542352,1423.07446032072,1424.1115260074,1425.13025159334,1426.12641601562,1427.13980648643,1428.10115517064,1429.09141010485,1430.05951891447,1431.00584909539,1431.94265650699,1432.90847810444,1433.78084395559,1434.62187114515,1435.45720471834,1436.27261127673,1437.09052734375,1437.87259071752,1438.66696134868,1439.43672774465,1440.20744757401,1440.97694156044,1441.72302374589,1442.47218595806,1443.18290758635,1443.93151598479,1444.6212916324,1445.34040141859,1446.04339663857,1446.73983989515,1447.40012207031,1448.06882452714
